Athlete,NOC,Discipline,Event,Medal,Edition
"HAJOS, Alfred",HUN,Swimming,100m freestyle,Gold,1896
"HERSCHMANN, Otto",AUT,Swimming,100m freestyle,Silver,1896
"DRIVAS, Dimitrios",GRE,Swimming,100m freestyle for sailors,Bronze,1896
"MALOKINIS, Ioannis",GRE,Swimming,100m freestyle for sailors,Gold,1896
"CHASAPIS, Spiridon",GRE,Swimming,100m freestyle for sailors,Silver,1896
"CHOROPHAS, Efstathios",GRE,Swimming,1200m freestyle,Bronze,1896
"HAJOS, Alfred",HUN,Swimming,1200m freestyle,Gold,1896
"ANDREOU, Joannis",GRE,Swimming,1200m freestyle,Silver,1896
"CHOROPHAS, Efstathios",GRE,Swimming,400m freestyle,Bronze,1896
"NEUMANN, Paul",AUT,Swimming,400m freestyle,Gold,1896
"PEPANOS, Antonios",GRE,Swimming,400m freestyle,Silver,1896
"LANE, Francis",USA,Athletics,100m,Bronze,1896
"SZOKOLYI, Alajos",HUN,Athletics,100m,Bronze,1896
"BURKE, Thomas",USA,Athletics,100m,Gold,1896
"HOFMANN, Fritz",GER,Athletics,100m,Silver,1896
"CURTIS, Thomas",USA,Athletics,110m hurdles,Gold,1896
"GOULDING, Grantley",GBR,Athletics,110m hurdles,Silver,1896
"LERMUSIAUX, Albin",FRA,Athletics,1500m,Bronze,1896
"FLACK, Edwin",AUS,Athletics,1500m,Gold,1896
"BLAKE, Arthur",USA,Athletics,1500m,Silver,1896
"GMELIN, Charles",GBR,Athletics,400m,Bronze,1896
"BURKE, Thomas",USA,Athletics,400m,Gold,1896
"JAMISON, Herbert",USA,Athletics,400m,Silver,1896
"GOLEMIS, Dimitrios",GRE,Athletics,800m,Bronze,1896
"FLACK, Edwin",AUS,Athletics,800m,Gold,1896
"DANI, Nandor",HUN,Athletics,800m,Silver,1896
"VERSIS, Sotirios",GRE,Athletics,discus throw,Bronze,1896
"GARRETT, Robert",USA,Athletics,discus throw,Gold,1896
"PARASKEVOPOULOS, Panagiotis",GRE,Athletics,discus throw,Silver,1896
"CLARK, Ellery",USA,Athletics,high jump,Gold,1896
"CONNOLLY, James",USA,Athletics,high jump,Silver,1896
"GARRETT, Robert",USA,Athletics,high jump,Silver,1896
"CONNOLLY, James",USA,Athletics,long jump,Bronze,1896
"CLARK, Ellery",USA,Athletics,long jump,Gold,1896
"GARRETT, Robert",USA,Athletics,long jump,Silver,1896
"KELLNER, Gyula",HUN,Athletics,marathon,Bronze,1896
"LOUIS, Spyridon",GRE,Athletics,marathon,Gold,1896
"VASILAKOS, Kharilaos",GRE,Athletics,marathon,Silver,1896
"DAMASKOS, Evangelos",GRE,Athletics,pole vault,Bronze,1896
"THEODOROPOULOS, Ioannis",GRE,Athletics,pole vault,Bronze,1896
"HOYT, William Welles",USA,Athletics,pole vault,Gold,1896
"TYLER, Albert",USA,Athletics,pole vault,Silver,1896
"PAPASIDERIS, Georgios",GRE,Athletics,shot put,Bronze,1896
"GARRETT, Robert",USA,Athletics,shot put,Gold,1896
"GOUSKOS, Miltiadis",GRE,Athletics,shot put,Silver,1896
"PERSAKIS, Ioannis",GRE,Athletics,triple jump,Bronze,1896
"CONNOLLY, James",USA,Athletics,triple jump,Gold,1896
"TUFFERI, Alexandre",FRA,Athletics,triple jump,Silver,1896
"BATTEL, Edward",GBR,Cycling Road,individual road race,Bronze,1896
"KONSTANTINIDIS, Aristidis",GRE,Cycling Road,individual road race,Gold,1896
"GOEDRICH, August",GER,Cycling Road,individual road race,Silver,1896
"FLAMENG, Léon",FRA,Cycling Track,100km,Gold,1896
"KOLETTIS, Georgios",GRE,Cycling Track,100km,Silver,1896
"SCHMAL, Adolf",AUT,Cycling Track,10km,Bronze,1896
"MASSON, Paul",FRA,Cycling Track,10km,Gold,1896
"FLAMENG, Léon",FRA,Cycling Track,10km,Silver,1896
"SCHMAL, Adolf",AUT,Cycling Track,12-hour race,Gold,1896
"KEEPING, Frank",GBR,Cycling Track,12-hour race,Silver,1896
"SCHMAL, Adolf",AUT,Cycling Track,1km time trial,Bronze,1896
"MASSON, Paul",FRA,Cycling Track,1km time trial,Gold,1896
"NIKOLOPOULOS, Stamatios",GRE,Cycling Track,1km time trial,Silver,1896
"FLAMENG, Léon",FRA,Cycling Track,Sprint indivual,Bronze,1896
"MASSON, Paul",FRA,Cycling Track,Sprint indivual,Gold,1896
"NIKOLOPOULOS, Stamatios",GRE,Cycling Track,Sprint indivual,Silver,1896
"PIERRAKOS-MAVROMICHALIS, Perikles",GRE,Fencing,foil individual,Bronze,1896
"GRAVELOTTE, Eugène-Henri",FRA,Fencing,foil individual,Gold,1896
"CALLOT, Henri",FRA,Fencing,foil individual,Silver,1896
"PYRGOS, Leonidas",GRE,Fencing,"foil, masters",Gold,1896
"PERRONNET, Maurice",FRA,Fencing,"foil, masters",Silver,1896
"NIELSEN, Holger",DEN,Fencing,sabre individual,Bronze,1896
"GEORGIADIS, Ioannis",GRE,Fencing,sabre individual,Gold,1896
"KARAKALOS, Telemachos",GRE,Fencing,sabre individual,Silver,1896
"WEINGÄRTNER, Hermann",GER,Artistic G.,horizontal bar,Gold,1896
"FLATOW, Alfred",GER,Artistic G.,horizontal bar,Silver,1896
"FLATOW, Alfred",GER,Artistic G.,parallel bars,Gold,1896
"ZUTTER, Louis",SUI,Artistic G.,parallel bars,Silver,1896
"ZUTTER, Louis",SUI,Artistic G.,pommel horse,Gold,1896
"WEINGÄRTNER, Hermann",GER,Artistic G.,pommel horse,Silver,1896
"PERSAKIS, Petros",GRE,Artistic G.,rings,Bronze,1896
"MITROPOULOS, Ioannis",GRE,Artistic G.,rings,Gold,1896
"WEINGÄRTNER, Hermann",GER,Artistic G.,rings,Silver,1896
"HOFMANN, Fritz",GER,Artistic G.,rope climbing,Bronze,1896
"ANDRIAKOPOULOS, Nicolaos",GRE,Artistic G.,rope climbing,Gold,1896
"XENAKIS, Thomasios",GRE,Artistic G.,rope climbing,Silver,1896
"BÖCKER, Konrad",GER,Artistic G.,"team, horizontal bar",Gold,1896
"FLATOW, Alfred",GER,Artistic G.,"team, horizontal bar",Gold,1896
"FLATOW, Gustav Felix",GER,Artistic G.,"team, horizontal bar",Gold,1896
"HILMAR, Georg",GER,Artistic G.,"team, horizontal bar",Gold,1896
"HOFMANN, Fritz",GER,Artistic G.,"team, horizontal bar",Gold,1896
"MANTEUFFEL, Fritz",GER,Artistic G.,"team, horizontal bar",Gold,1896
"NEUKIRCH, Karl",GER,Artistic G.,"team, horizontal bar",Gold,1896
"RÖSTEL, Richard",GER,Artistic G.,"team, horizontal bar",Gold,1896
"SCHUFT, Gustav",GER,Artistic G.,"team, horizontal bar",Gold,1896
"SCHUMANN, Carl",GER,Artistic G.,"team, horizontal bar",Gold,1896
"WEINGÄRTNER, Hermann",GER,Artistic G.,"team, horizontal bar",Gold,1896
"CHRYSAPHIS, Ioannis",GRE,Artistic G.,"team, parallel bars",Bronze,1896
"KARVELAS, Phillippos",GRE,Artistic G.,"team, parallel bars",Bronze,1896
"LOUNDRAS, Dimitrios",GRE,Artistic G.,"team, parallel bars",Bronze,1896
"MITROPOULOS, Ioannis",GRE,Artistic G.,"team, parallel bars",Bronze,1896
"BÖCKER, Konrad",GER,Artistic G.,"team, parallel bars",Gold,1896
"FLATOW, Alfred",GER,Artistic G.,"team, parallel bars",Gold,1896
"FLATOW, Gustav Felix",GER,Artistic G.,"team, parallel bars",Gold,1896
"HILMAR, Georg",GER,Artistic G.,"team, parallel bars",Gold,1896
"HOFMANN, Fritz",GER,Artistic G.,"team, parallel bars",Gold,1896
"MANTEUFFEL, Fritz",GER,Artistic G.,"team, parallel bars",Gold,1896
"NEUKIRCH, Karl",GER,Artistic G.,"team, parallel bars",Gold,1896
"RÖSTEL, Richard",GER,Artistic G.,"team, parallel bars",Gold,1896
"SCHUFT, Gustav",GER,Artistic G.,"team, parallel bars",Gold,1896
"SCHUMANN, Carl",GER,Artistic G.,"team, parallel bars",Gold,1896
"WEINGÄRTNER, Hermann",GER,Artistic G.,"team, parallel bars",Gold,1896
"ANDRIAKOPOULOS, Nicolaos",GRE,Artistic G.,"team, parallel bars",Silver,1896
"ATHANASOPOULOS, Spyros",GRE,Artistic G.,"team, parallel bars",Silver,1896
"PERSAKIS, Petros",GRE,Artistic G.,"team, parallel bars",Silver,1896
"XENAKIS, Thomasios",GRE,Artistic G.,"team, parallel bars",Silver,1896
"WEINGÄRTNER, Hermann",GER,Artistic G.,vault,Bronze,1896
"SCHUMANN, Carl",GER,Artistic G.,vault,Gold,1896
"ZUTTER, Louis",SUI,Artistic G.,vault,Silver,1896
"MORAKIS, Nikolaos",GRE,Shooting,25m army pistol,Bronze,1896
"PAINE, John",USA,Shooting,25m army pistol,Gold,1896
"PAINE, Sumner",USA,Shooting,25m army pistol,Silver,1896
"NIELSEN, Holger",DEN,Shooting,25m rapid fire pistol (60 shots),Bronze,1896
"PHRANGOUDIS, Joannis",GRE,Shooting,25m rapid fire pistol (60 shots),Gold,1896
"ORPHANIDIS, Georgios",GRE,Shooting,25m rapid fire pistol (60 shots),Silver,1896
"PHRANGOUDIS, Joannis",GRE,Shooting,50m pistol (60 shots),Bronze,1896
"PAINE, Sumner",USA,Shooting,50m pistol (60 shots),Gold,1896
"NIELSEN, Holger",DEN,Shooting,50m pistol (60 shots),Silver,1896
"TRIKUPIS, Nicolaos",GRE,Shooting,"army rifle, 200m",Bronze,1896
"KARASEVDAS, Pantelis",GRE,Shooting,"army rifle, 200m",Gold,1896
"PAVLIDIS, Pavlos",GRE,Shooting,"army rifle, 200m",Silver,1896
"JENSEN, Viggo",DEN,Shooting,"army rifle, 300m",Bronze,1896
"ORPHANIDIS, Georgios",GRE,Shooting,"army rifle, 300m",Gold,1896
"PHRANGOUDIS, Joannis",GRE,Shooting,"army rifle, 300m",Silver,1896
"FLACK, Edwin",ZZX,Tennis,doubles,Bronze,1896
"ROBERTSON, George Stuart",ZZX,Tennis,doubles,Bronze,1896
"BOLAND, John",ZZX,Tennis,doubles,Gold,1896
"TRAUN, Friedrich",ZZX,Tennis,doubles,Gold,1896
"KASDAGLIS, Dionysios",ZZX,Tennis,doubles,Silver,1896
"PETROKOKKINOS, Demetrios",ZZX,Tennis,doubles,Silver,1896
"PASPATIS, Konstantinos",GRE,Tennis,singles,Bronze,1896
"TAPAVICZA, Momcsillo",HUN,Tennis,singles,Bronze,1896
"BOLAND, John",GBR,Tennis,singles,Gold,1896
"KASDAGLIS, Dionysios",GRE,Tennis,singles,Silver,1896
"NIKOLOPOULOS, Alexandros",GRE,Weightlifting,heavyweight - one hand lift,Bronze,1896
"ELLIOTT, Launceston",GBR,Weightlifting,heavyweight - one hand lift,Gold,1896
"JENSEN, Viggo",DEN,Weightlifting,heavyweight - one hand lift,Silver,1896
"VERSIS, Sotirios",GRE,Weightlifting,heavyweight - two hand lift,Bronze,1896
"JENSEN, Viggo",DEN,Weightlifting,heavyweight - two hand lift,Gold,1896
"ELLIOTT, Launceston",GBR,Weightlifting,heavyweight - two hand lift,Silver,1896
"CHRISTOPOULOS, Stephanos",GRE,Wrestling Gre-R,open event,Bronze,1896
"SCHUMANN, Carl",GER,Wrestling Gre-R,open event,Gold,1896
"TSITAS, Georgios",GRE,Wrestling Gre-R,open event,Silver,1896
"HALMAY, Zoltan",HUN,Swimming,1500m freestyle,Bronze,1900
"JARVIS, John Arthur",GBR,Swimming,1500m freestyle,Gold,1900
"WAHLE, Otto",AUT,Swimming,1500m freestyle,Silver,1900
"DROST, Johannes",NED,Swimming,200m backstroke,Bronze,1900
"HOPPENBERG, Ernst",GER,Swimming,200m backstroke,Gold,1900
"RUBERL, Karl",AUT,Swimming,200m backstroke,Silver,1900
"RUBERL, Karl",AUT,Swimming,200m freestyle,Bronze,1900
"LANE, Frederick C.V.",AUS,Swimming,200m freestyle,Gold,1900
"HALMAY, Zoltan",HUN,Swimming,200m freestyle,Silver,1900
"KEMP, Peter",GBR,Swimming,200m obstacle event,Bronze,1900
"LANE, Frederick C.V.",AUS,Swimming,200m obstacle event,Gold,1900
"WAHLE, Otto",AUT,Swimming,200m obstacle event,Silver,1900
HOUBEN,FRA,Swimming,200m team swimming,Bronze,1900
"LEUILLIEUX, Jean",FRA,Swimming,200m team swimming,Bronze,1900
"MARTIN, Louis",FRA,Swimming,200m team swimming,Bronze,1900
"MERCHEZ, Désiré",FRA,Swimming,200m team swimming,Bronze,1900
TARTARA,FRA,Swimming,200m team swimming,Bronze,1900
"FREY, Julius",GER,Swimming,200m team swimming,Gold,1900
"HAINLE, Max",GER,Swimming,200m team swimming,Gold,1900
"HOPPENBERG, Ernst",GER,Swimming,200m team swimming,Gold,1900
"SCHÖNE, Max",GER,Swimming,200m team swimming,Gold,1900
"VON PETERSDORFF, Herbert",GER,Swimming,200m team swimming,Gold,1900
BERTRAND,FRA,Swimming,200m team swimming,Silver,1900
CADET,FRA,Swimming,200m team swimming,Silver,1900
"HOCHEPIED, Maurice",FRA,Swimming,200m team swimming,Silver,1900
"HOCHEPIED, Victor",FRA,Swimming,200m team swimming,Silver,1900
VERBECKE,FRA,Swimming,200m team swimming,Silver,1900
"MARTIN, Louis",FRA,Swimming,4000m freestyle,Bronze,1900
"JARVIS, John Arthur",GBR,Swimming,4000m freestyle,Gold,1900
"HALMAY, Zoltan",HUN,Swimming,4000m freestyle,Silver,1900
"LYKKEBERG, Peder",DEN,Swimming,underwater swimming,Bronze,1900
"DE VENDEVILLE, Charles",FRA,Swimming,underwater swimming,Gold,1900
"SIX, André",FRA,Swimming,underwater swimming,Silver,1900
"BURGESS, Thomas",FRA,Water polo,water polo,Bronze,1900
COULON,FRA,Water polo,water polo,Bronze,1900
"DECUYPER, Alphonse",FRA,Water polo,water polo,Bronze,1900
DEVENOT,FRA,Water polo,water polo,Bronze,1900
FARDELLE,FRA,Water polo,water polo,Bronze,1900
FAVIER,FRA,Water polo,water polo,Bronze,1900
"LAUFRAY, Louis",FRA,Water polo,water polo,Bronze,1900
LERICHE,FRA,Water polo,water polo,Bronze,1900
"MARTIN, Louis",FRA,Water polo,water polo,Bronze,1900
"MERCHEZ, Désiré",FRA,Water polo,water polo,Bronze,1900
"PESLIER, Henri",FRA,Water polo,water polo,Bronze,1900
PESLOY,FRA,Water polo,water polo,Bronze,1900
"TREFFEL, Charles",FRA,Water polo,water polo,Bronze,1900
"VASSEUR, Paul",FRA,Water polo,water polo,Bronze,1900
"COE, Thomas",GBR,Water polo,water polo,Gold,1900
"DERBYSHIRE, John Henry",GBR,Water polo,water polo,Gold,1900
"KEMP, Peter",GBR,Water polo,water polo,Gold,1900
"LISTER, William",GBR,Water polo,water polo,Gold,1900
"ROBERTSON, Arthur",GBR,Water polo,water polo,Gold,1900
"ROBINSON, Eric",GBR,Water polo,water polo,Gold,1900
"WILKINSON, George",GBR,Water polo,water polo,Gold,1900
"COHEN, Henri",BEL,Water polo,water polo,Silver,1900
"DE BACKER, Jean",BEL,Water polo,water polo,Silver,1900
"DE BEHR, Victor",BEL,Water polo,water polo,Silver,1900
"FEYAERTS, Fernand",BEL,Water polo,water polo,Silver,1900
"GREGOIRE, Oscar",BEL,Water polo,water polo,Silver,1900
"MICHANT, Albert",BEL,Water polo,water polo,Silver,1900
"SONNEMANS, Victor",BEL,Water polo,water polo,Silver,1900
"PETIT, Charles Frédéric",FRA,Archery,"au chapelet, 33m",Bronze,1900
"VAN INNIS, Hubert",BEL,Archery,"au chapelet, 33m",Gold,1900
"THIBAUD, Victor",FRA,Archery,"au chapelet, 33m",Silver,1900
"MERCIER, Emile",FRA,Archery,"au chapelet, 50m",Bronze,1900
"MOUGIN, Eugène",FRA,Archery,"au chapelet, 50m",Gold,1900
"HELLE, Henri",FRA,Archery,"au chapelet, 50m",Silver,1900
"PETIT, Charles Frédéric",FRA,Archery,"au cordon doré, 33m",Bronze,1900
"VAN INNIS, Hubert",BEL,Archery,"au cordon doré, 33m",Gold,1900
"THIBAUD, Victor",FRA,Archery,"au cordon doré, 33m",Silver,1900
"FISSEUX, Emile",FRA,Archery,"au cordon doré, 50m",Bronze,1900
"HEROUIN, Henri",FRA,Archery,"au cordon doré, 50m",Gold,1900
"VAN INNIS, Hubert",BEL,Archery,"au cordon doré, 50m",Silver,1900
"FOULON, Emmanuel",BEL,Archery,sur la perche à la herse,Gold,1900
"DRUART, Jr.",BEL,Archery,sur la perche à la herse,Silver,1900
"SERRURIER, Auguste",FRA,Archery,sur la perche à la herse,Silver,1900
"GLINEUX, Louis",BEL,Archery,sur la perche à la pyramide,Bronze,1900
"GRUMIAUX, Emile",FRA,Archery,sur la perche à la pyramide,Gold,1900
"SERRURIER, Auguste",FRA,Archery,sur la perche à la pyramide,Silver,1900
"ROWLEY, Stanley",AUS,Athletics,100m,Bronze,1900
"JARVIS, Francis",USA,Athletics,100m,Gold,1900
"TEWKSBURY, Walter B. John",USA,Athletics,100m,Silver,1900
"MOLONEY, Frederick",USA,Athletics,110m hurdles,Bronze,1900
"KRAENZLEIN, Alvin",USA,Athletics,110m hurdles,Gold,1900
"MCLEAN, John",USA,Athletics,110m hurdles,Silver,1900
"BRAY, John",USA,Athletics,1500m,Bronze,1900
"BENNETT, Charles",GBR,Athletics,1500m,Gold,1900
"DELOGE, Henri",FRA,Athletics,1500m,Silver,1900
"ROWLEY, Stanley",AUS,Athletics,200m,Bronze,1900
"TEWKSBURY, Walter B. John",USA,Athletics,200m,Gold,1900
"PRITCHARD, Norman",IND,Athletics,200m,Silver,1900
"TEWKSBURY, Walter B. John",USA,Athletics,200m hurdles,Bronze,1900
"KRAENZLEIN, Alvin",USA,Athletics,200m hurdles,Gold,1900
"PRITCHARD, Norman",IND,Athletics,200m hurdles,Silver,1900
"CHASTANIE, Jacques",FRA,Athletics,3000m steeplechase,Bronze,1900
"ORTON, George",CAN,Athletics,3000m steeplechase,Gold,1900
"ROBINSON, Sidney",GBR,Athletics,3000m steeplechase,Silver,1900
"ROBINSON, Sidney",GBR,Athletics,4000m steeplechase,Bronze,1900
"RIMMER, John",GBR,Athletics,4000m steeplechase,Gold,1900
"BENNETT, Charles",GBR,Athletics,4000m steeplechase,Silver,1900
"SCHULTZ, Ernst",DEN,Athletics,400m,Bronze,1900
"LONG, Maxwell W.Maxey",USA,Athletics,400m,Gold,1900
"HOLLAND, William",USA,Athletics,400m,Silver,1900
"ORTON, George",CAN,Athletics,400m hurdles,Bronze,1900
"TEWKSBURY, Walter B. John",USA,Athletics,400m hurdles,Gold,1900
"TAUZIN, Henri",FRA,Athletics,400m hurdles,Silver,1900
"BENNETT, Charles",ZZX,Athletics,5000m team,Gold,1900
"RIMMER, John",ZZX,Athletics,5000m team,Gold,1900
"ROBINSON, Sidney",ZZX,Athletics,5000m team,Gold,1900
"ROWLEY, Stanley",ZZX,Athletics,5000m team,Gold,1900
"TYSOE, Alfred",ZZX,Athletics,5000m team,Gold,1900
"CASTANET, André",FRA,Athletics,5000m team,Silver,1900
"CHAMPOUDRY, Michel",FRA,Athletics,5000m team,Silver,1900
"CHASTANIE, Jacques",FRA,Athletics,5000m team,Silver,1900
"DELOGE, Henri",FRA,Athletics,5000m team,Silver,1900
"RAGUENEAU, Gaston",FRA,Athletics,5000m team,Silver,1900
"ROWLEY, Stanley",AUS,Athletics,60m,Bronze,1900
"KRAENZLEIN, Alvin",USA,Athletics,60m,Gold,1900
"TEWKSBURY, Walter B. John",USA,Athletics,60m,Silver,1900
"HALL, David",USA,Athletics,800m,Bronze,1900
"TYSOE, Alfred",GBR,Athletics,800m,Gold,1900
"CREGAN, John",USA,Athletics,800m,Silver,1900
"SHELDON, Richard",USA,Athletics,discus throw,Bronze,1900
"BAUER, Rudolf",HUN,Athletics,discus throw,Gold,1900
"JANDA, Frantisek",BOH,Athletics,discus throw,Silver,1900
"MCCRACKEN, Josiah",USA,Athletics,hammer throw,Bronze,1900
"FLANAGAN, John Jesus",USA,Athletics,hammer throw,Gold,1900
"HARE, Thomas Truxton",USA,Athletics,hammer throw,Silver,1900
"GÖNCZY, Lajos",HUN,Athletics,high jump,Bronze,1900
"BAXTER, Irving",USA,Athletics,high jump,Gold,1900
"LEAHY, Patrick Joseph",GBR,Athletics,high jump,Silver,1900
"SHELDON, Lewis Pendleton",USA,Athletics,"high jump, standing",Bronze,1900
"EWRY, Ray",USA,Athletics,"high jump, standing",Gold,1900
"BAXTER, Irving",USA,Athletics,"high jump, standing",Silver,1900
"LEAHY, Patrick Joseph",GBR,Athletics,long jump,Bronze,1900
"KRAENZLEIN, Alvin",USA,Athletics,long jump,Gold,1900
"PRINSTEIN, Meyer",USA,Athletics,long jump,Silver,1900
"TORCHEBOEUF, Emile",FRA,Athletics,"long jump, standing",Bronze,1900
"EWRY, Ray",USA,Athletics,"long jump, standing",Gold,1900
"BAXTER, Irving",USA,Athletics,"long jump, standing",Silver,1900
"FAST, Ernst",SWE,Athletics,marathon,Bronze,1900
"THEATO, Michel",FRA,Athletics,marathon,Gold,1900
"CHAMPION, Emile",FRA,Athletics,marathon,Silver,1900
"ANDERSEN, Carl Albert",NOR,Athletics,pole vault,Bronze,1900
"BAXTER, Irving",USA,Athletics,pole vault,Gold,1900
"COLKETT, Meredith Bright",USA,Athletics,pole vault,Silver,1900
"GARRETT, Robert",USA,Athletics,shot put,Bronze,1900
"SHELDON, Richard",USA,Athletics,shot put,Gold,1900
"MCCRACKEN, Josiah",USA,Athletics,shot put,Silver,1900
"SHELDON, Lewis Pendleton",USA,Athletics,triple jump,Bronze,1900
"PRINSTEIN, Meyer",USA,Athletics,triple jump,Gold,1900
"CONNOLLY, James",USA,Athletics,triple jump,Silver,1900
"GARRETT, Robert",USA,Athletics,"triple jump, standing",Bronze,1900
"EWRY, Ray",USA,Athletics,"triple jump, standing",Gold,1900
"BAXTER, Irving",USA,Athletics,"triple jump, standing",Silver,1900
"De AMEZOLA y ASPIZUA, José",ESP,Basque Pelota,cesta punta,Gold,1900
"VILLOTA BAQUIOLA, Francisco",ESP,Basque Pelota,cesta punta,Gold,1900
"DURQUETTY, Maurice",FRA,Basque Pelota,cesta punta,Silver,1900
ETCHEGARAY,FRA,Basque Pelota,cesta punta,Silver,1900
"BEACHCROFT, Charles",GBR,Cricket,cricket,Gold,1900
"BIRKETT, Arthur Ernest",GBR,Cricket,cricket,Gold,1900
"BOWERMAN, Alfred James",GBR,Cricket,cricket,Gold,1900
"BUCKLEY, George John",GBR,Cricket,cricket,Gold,1900
"BURCHELL, Francis Romulus",GBR,Cricket,cricket,Gold,1900
"CHRISTIAN, Frederick William",GBR,Cricket,cricket,Gold,1900
"CORNER, Harry Richard",GBR,Cricket,cricket,Gold,1900
"CUMING, Frederick Wlliam",GBR,Cricket,cricket,Gold,1900
"DONNE, William Stephen",GBR,Cricket,cricket,Gold,1900
"POWLESLAND, Alfred James",GBR,Cricket,cricket,Gold,1900
"SYMES, John",GBR,Cricket,cricket,Gold,1900
"TOLLER, Montagu Henry",GBR,Cricket,cricket,Gold,1900
"ANDERSON, W.",FRA,Cricket,cricket,Silver,1900
"ATTRILL, W.T.",FRA,Cricket,cricket,Silver,1900
"BRAID, J.",FRA,Cricket,cricket,Silver,1900
"BROWNING, W.",FRA,Cricket,cricket,Silver,1900
"HORNE, R.",FRA,Cricket,cricket,Silver,1900
"JORDAN, T.H.",FRA,Cricket,cricket,Silver,1900
"MCEVOY, A.",FRA,Cricket,cricket,Silver,1900
"ROBINSON, D.",FRA,Cricket,cricket,Silver,1900
"ROQUES, F.",FRA,Cricket,cricket,Silver,1900
"SCHNEIDAU, A.J.",FRA,Cricket,cricket,Silver,1900
"TERRY, Henry John",FRA,Cricket,cricket,Silver,1900
"TOMALIN, P.H.",FRA,Cricket,cricket,Silver,1900
AUMOITTE,FRA,Croquet,double,Gold,1900
JOHIN,FRA,Croquet,double,Gold,1900
WAYDELICH,FRA,Croquet,individual 1 ball,Bronze,1900
AUMOITTE,FRA,Croquet,individual 1 ball,Gold,1900
JOHIN,FRA,Croquet,individual 1 ball,Silver,1900
SAUTREAU,FRA,Croquet,individual 2 balls,Bronze,1900
WAYDELICH,FRA,Croquet,individual 2 balls,Gold,1900
VIGNEROT,FRA,Croquet,individual 2 balls,Silver,1900
"DAUMAIN, .....",FRA,Cycling Track,25 kilometres,Bronze,1900
"BASTIEN, Louis",FRA,Cycling Track,25 kilometres,Gold,1900
"HILDEBRAND, Louis",FRA,Cycling Track,25 kilometres,Silver,1900
"LAKE, John Henry",USA,Cycling Track,Sprint indivual,Bronze,1900
"TAILLANDIER, Georges",FRA,Cycling Track,Sprint indivual,Gold,1900
"SANZ, Fernand",FRA,Cycling Track,Sprint indivual,Silver,1900
"VAN DE POELE, Georges",BEL,Jumping,high jump,Bronze,1900
"GARDERES, Dominique Maximien",FRA,Jumping,high jump,Gold,1900
"TRISSINO, Gian Giorgio",ITA,Jumping,high jump,Gold,1900
"DE CHAMPSAVIN, Louis",FRA,Jumping,individual,Bronze,1900
"HAEGEMAN, Aimé",BEL,Jumping,individual,Gold,1900
"VAN DE POELE, Georges",BEL,Jumping,individual,Silver,1900
DE BELLEGARDE,FRA,Jumping,long jump individual,Bronze,1900
"VAN LANGHENDONCK, Constant",BEL,Jumping,long jump individual,Gold,1900
"TRISSINO, Gian Giorgio",ITA,Jumping,long jump individual,Silver,1900
"SEE, Léon",FRA,Fencing,épée individual,Bronze,1900
"FONST, Ramon",CUB,Fencing,épée individual,Gold,1900
"PERREE, Louis",FRA,Fencing,épée individual,Silver,1900
"SEE, Léon",FRA,Fencing,"épée, amateurs and masters",Bronze,1900
"AYAT, Albert",FRA,Fencing,"épée, amateurs and masters",Gold,1900
"FONST, Ramon",CUB,Fencing,"épée, amateurs and masters",Silver,1900
"LAURENT, Henri",FRA,Fencing,"épée, masters",Bronze,1900
"AYAT, Albert",FRA,Fencing,"épée, masters",Gold,1900
"BOUGNOL, Emile",FRA,Fencing,"épée, masters",Silver,1900
"BOULENGER, Marcel Jacques",FRA,Fencing,foil individual,Bronze,1900
"COSTE, Emile",FRA,Fencing,foil individual,Gold,1900
"MASSON, Henri",FRA,Fencing,foil individual,Silver,1900
"MIMIAGUE, Jean-Baptiste",FRA,Fencing,"foil, masters",Bronze,1900
"MERIGNAC, Lucien",FRA,Fencing,"foil, masters",Gold,1900
"KIRCHHOFFER, Alphonse",FRA,Fencing,"foil, masters",Silver,1900
"FLESCH, Siegfried",AUT,Fencing,sabre individual,Bronze,1900
"DE LA FALAISE, Georges",FRA,Fencing,sabre individual,Gold,1900
"THIEBAUT, Léon",FRA,Fencing,sabre individual,Silver,1900
"NERALIC, Milan",AUT,Fencing,"sabre, masters",Bronze,1900
"CONTE, Antonio",ITA,Fencing,"sabre, masters",Gold,1900
"SANTELLI, Italo",ITA,Fencing,"sabre, masters",Silver,1900
"DELBECQUE, Albert",BEL,Football,football,Bronze,1900
"KELECOM, R.",BEL,Football,football,Bronze,1900
"LEBOUTTE, Marcel",BEL,Football,football,Bronze,1900
LONDOT,BEL,Football,football,Bronze,1900
"MOREAU, Ernest",BEL,Football,football,Bronze,1900
"NEEFS, E.",BEL,Football,football,Bronze,1900
"PELGRIMS, Georges",BEL,Football,football,Bronze,1900
"RENIER, Alphonse",BEL,Football,football,Bronze,1900
"SPANNOGHE, E.",BEL,Football,football,Bronze,1900
"THORNTON, Erich",BEL,Football,football,Bronze,1900
VAN HEUCKELUM,BEL,Football,football,Bronze,1900
"BUCKENHAM, Claude Percy",GBR,Football,football,Gold,1900
"BURRIDGE, T.E.",GBR,Football,football,Gold,1900
"CHALK, Alfred Ernest",GBR,Football,football,Gold,1900
"GROSLING, William Sullivan",GBR,Football,football,Gold,1900
"HASLAM, A.",GBR,Football,football,Gold,1900
"JONES, J.H.",GBR,Football,football,Gold,1900
